saison,journee,date,equipe_domicile,score_dom,equipe_exterieur,score_ext,buteurs_rennais,,,
2022/23,25,dimanche 26 février 2023,nantes,0,rennes,1,Doku,,,
2022/23,10,dimanche 9 octobre 2022,rennes,3,nantes,0,Gouiri,Terrier,Doué,
2021/22,36,mercredi 11 mai 2022,nantes,2,rennes,1,Tait,,,
2021/22,3,dimanche 22 août 2021,rennes,1,nantes,0,Terrier,,,
2020/21,32,dimanche 11 avril 2021,rennes,1,nantes,0,Terrier,,,
2020/21,18,mercredi 6 janvier 2021,nantes,0,rennes,0,,,,
2019/20,22,vendredi 31 janvier 2020,rennes,3,nantes,2,Raphinha,Bourigeaud,Raphinha,
2019/20,7,mercredi 25 septembre 2019,nantes,1,rennes,0,,,,
2018/19,20,dimanche 13 janvier 2019,nantes,0,rennes,1,Da Silva,,,
2018/19,13,dimanche 11 novembre 2018,rennes,1,nantes,1,Johansson,,,
2017/18,34,vendredi 20 avril 2018,nantes,1,rennes,1,csc,,,
2017/18,14,samedi 25 novembre 2017,rennes,2,nantes,1,Khazri,Khazri,,
2016/17,22,samedi 28 janvier 2017,rennes,1,nantes,1,Gnagnon,,,
2016/17,10,samedi 22 octobre 2016,nantes,1,rennes,2,Grosicki,Grosicki,,
2015/16,29,dimanche 6 mars 2016,rennes,4,nantes,1,Dembelé,Grosicki,Dembélé,Dembelé
2015/16,5,dimanche 13 septembre 2015,nantes,0,rennes,2,Ntep,Sio,,
2014/15,30,samedi 21 mars 2015,rennes,0,nantes,0,,,,
2014/15,12,dimanche 2 novembre 2014,nantes,1,rennes,1,Henrique,,,
2013/14,26,dimanche 23 février 2014,nantes,0,rennes,3,Ntep,Konradsen,Toivonen,
2013/14,8,dimanche 29 septembre 2013,rennes,1,nantes,3,Oliveira,,,
2008/09,36,dimanche 17 mai 2009,nantes,1,rennes,1,Sow,,,
2008/09,18,samedi 13 décembre 2008,rennes,0,nantes,0,,,,
2006/07,34,samedi 28 avril 2007,nantes,0,rennes,2,Utaka, Briand,,
2006/07,16,samedi 2 décembre 2006,rennes,2,nantes,0,Melchiot, Cheyrou,,
2005/06,20,mercredi 4 janvier 2006,nantes,0,rennes,2,Didot, Utaka,,
2005/06,2,dimanche 7 août 2005,rennes,0,nantes,3,,,,
2004/05,21,samedi 15 janvier 2005,nantes,2,rennes,0,,,,
2004/05,3,samedi 21 août 2004,rennes,1,nantes,0,Frei,,,
2003/04,27,samedi 6 mars 2004,rennes,0,nantes,3,,,,
2003/04,9,samedi 4 octobre 2003,nantes,1,rennes,0,,,,
2002/03,26,mercredi 5 février 2003,nantes,1,rennes,0,,,,
2002/03,8,samedi 21 septembre 2002,rennes,1,nantes,0,Arribagé,,,
2001/02,30,samedi 23 mars 2002,nantes,3,rennes,1,Maktar N'Diaye,,,
2001/02,14,samedi 17 novembre 2001,rennes,2,nantes,0,Monterrubio, Réveillère,,
2000/01,28,dimanche 4 mars 2001,rennes,0,nantes,2,,,,
2000/01,12,samedi 21 octobre 2000,nantes,1,rennes,0,,,,
1999/2000,23,mercredi 26 janvier 2000,rennes,0,nantes,0,,,,
1999/2000,7,dimanche 19 septembre 1999,nantes,3,rennes,0,,,,
1998/99,32,mercredi 5 mai 1999,nantes,2,rennes,1,Bardon,,,
1998/99,16,samedi 28 novembre 1998,rennes,2,nantes,3,Nonda, Grégoire,,
1997/98,33,samedi 25 avril 1998,nantes,1,rennes,1,Bigné,,,
1997/98,17,vendredi 21 novembre 1997,rennes,3,nantes,0,Goussé, Bigné, Lambert,
1996/97,27,vendredi 21 février 1997,rennes,0,nantes,1,,,,
1996/97,9,samedi 28 septembre 1996,nantes,3,rennes,3,Guivarc'h, Guivarc'h, Guivarc'h,
1995/96,36,samedi 27 avril 1996,rennes,2,nantes,2,Denis, Wiltord,,
1995/96,18,samedi 18 novembre 1995,nantes,2,rennes,2,Grassi, Grassi,,
1994/95,25,mercredi 8 février 1995,rennes,1,nantes,1,Gourvennec,,,
1994/95,7,mercredi 31 août 1994,nantes,2,rennes,0,,,,
1991/92,20,vendredi 29 novembre 1991,nantes,1,rennes,0,,,,
1991/92,2,vendredi 26 juillet 1991,rennes,0,nantes,1,,,,
1990/91,32,samedi 6 avril 1991,rennes,2,nantes,0,Delamontagne, Delamontagne,,
1990/91,14,samedi 27 octobre 1990,nantes,2,rennes,0,,,,
